scenario,mean_price,median_price,std_price,p05,p95,mean_return,prob_loss,var_95,es_95
Base BS,256.368806751841,255.55226266406203,20.394932349904384,224.22594796066173,291.09473606480765,0.0035575041653848373,0.4987,31.23405875320546,15.337681908933202
Alta Volatilidad (BS),256.8219878375405,255.08541609674342,30.622270602643955,210.32540719099183,310.4097810750762,0.005331484725117059,0.5058,45.13459952287536,22.600441207826762
Volatilidad Extrema (BS),255.84687913480784,252.9831085451933,40.39762965407293,196.03176556222078,327.9787327174002,0.0015144148233504299,0.5254,59.428241151646404,30.167923913690462
Vol Estocástica (Heston),256.20783521077453,256.14999991495927,20.365642498571475,222.35990596003444,289.6116455357182,0.0029273799313133376,0.4853,33.10010075383275,15.968280787933704
Saltos Negativos (Merton),256.1354228791875,256.18592782652445,18.68769980204188,224.96043560817466,286.8334660044444,0.002643921348036139,0.4828,30.499571105692524,14.595563365841363
Crisis Severa (Merton),256.4921902542655,257.56417348774744,34.365384976366535,198.80729129447133,311.099228751542,0.004040489756795498,0.4764,56.65271541939586,27.748196604222592
