contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,stockPrice,date,T_days,T_years,moneyness
AAPL251010P00175000,2025-09-26 19:07:19+00:00,175.0,0.01,0.0,0.03,-0.01,-50.0,6.0,86.0,0.7187528125,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.6850387356170865
AAPL251010P00180000,2025-09-26 18:46:14+00:00,180.0,0.02,0.01,0.02,-0.01,-33.333336,56.0,258.0,0.6718782812500002,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.7046112709204319
AAPL251010P00185000,2025-09-26 17:48:26+00:00,185.0,0.03,0.01,0.03,0.0,0.0,261.0,119.0,0.64062859375,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.7241838062237771
AAPL251010P00190000,2025-09-26 16:04:42+00:00,190.0,0.03,0.02,0.04,-0.020000001,-40.000004,3.0,601.0,0.6132851171875001,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.7437563415271224
AAPL251010P00195000,2025-09-26 18:19:03+00:00,195.0,0.04,0.03,0.04,0.0,0.0,1.0,325.0,0.5742230078125,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.7633288768304678
AAPL251010P00200000,2025-09-26 19:45:00+00:00,200.0,0.04,0.04,0.12,-0.02,-33.333336,24.0,1087.0,0.5800823242187501,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.7829014121338131
AAPL251010P00205000,2025-09-26 16:15:32+00:00,205.0,0.05,0.05,0.06,-0.02,-28.571426,25.0,3172.0,0.5039112109375,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.8024739474371585
AAPL251010P00210000,2025-09-26 19:20:03+00:00,210.0,0.07,0.06,0.15,-0.009999998,-12.499998,85.0,1198.0,0.5205126074218749,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.8220464827405037
AAPL251010P00215000,2025-09-26 19:00:42+00:00,215.0,0.07,0.07,0.09,-0.04,-36.363636,25.0,1053.0,0.432622861328125,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.8416190180438491
AAPL251010P00217500,2025-09-26 19:11:09+00:00,217.5,0.09,0.08,0.1,-0.03999999,-30.769226,16.0,353.0,0.41309180664062495,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.8514052856955218
AAPL251010P00220000,2025-09-26 19:50:57+00:00,220.0,0.1,0.1,0.11,-0.019999996,-16.666664,981.0,5555.0,0.39258419921875,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.8611915533471944
AAPL251010P00222500,2025-09-26 18:53:52+00:00,222.5,0.11,0.1,0.12,-0.049999997,-31.25,3.0,113.0,0.372076591796875,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.8709778209988671
AAPL251010P00225000,2025-09-26 19:50:57+00:00,225.0,0.13,0.12,0.14,-0.050000012,-27.777782,136.0,2512.0,0.3544986425781249,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.8807640886505398
AAPL251010P00227500,2025-09-26 19:46:55+00:00,227.5,0.17,0.15,0.16,-0.049999997,-22.727272,89.0,293.0,0.3354558642578125,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.8905503563022125
AAPL251010P00230000,2025-09-26 19:56:42+00:00,230.0,0.19,0.18,0.19,-0.06999999,-26.923075,350.0,2562.0,0.31836619140624994,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.900336623953885
AAPL251010P00232500,2025-09-26 19:57:21+00:00,232.5,0.24,0.23,0.24,-0.08999999,-27.272724,96.0,1144.0,0.30371790039062496,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.9101228916055577
AAPL251010P00235000,2025-09-26 19:57:47+00:00,235.0,0.31,0.29,0.31,-0.09,-22.5,568.0,2150.0,0.29053443847656246,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.9199091592572304
AAPL251010P00237500,2025-09-26 19:48:39+00:00,237.5,0.42,0.39,0.41,-0.14000002,-25.000004,237.0,480.0,0.2778392529296875,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.929695426908903
AAPL251010P00240000,2025-09-26 19:56:05+00:00,240.0,0.57,0.52,0.55,-0.100000024,-14.925376,602.0,2929.0,0.26587648193359376,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.9394816945605757
AAPL251010P00242500,2025-09-26 19:59:56+00:00,242.5,0.74,0.72,0.75,-0.13999999,-15.909089,441.0,837.0,0.2551344018554688,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.9492679622122484
AAPL251010P00245000,2025-09-26 19:59:57+00:00,245.0,1.03,1.02,1.06,-0.14999998,-12.7118635,1110.0,2029.0,0.24719991088867188,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.9590542298639211
AAPL251010P00247500,2025-09-26 19:56:42+00:00,247.5,1.44,1.44,1.48,-0.13999999,-8.860759,1573.0,631.0,0.2391433508300781,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.9688404975155938
AAPL251010P00250000,2025-09-26 19:59:47+00:00,250.0,2.05,1.98,2.09,-0.06999993,-3.301884,1177.0,1377.0,0.23401644897460935,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.9786267651672664
AAPL251010P00252500,2025-09-26 19:59:47+00:00,252.5,2.83,2.76,2.9,-0.01999998,-0.70175374,526.0,688.0,0.229499892578125,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.9884130328189391
AAPL251010P00255000,2025-09-26 19:59:16+00:00,255.0,3.81,3.75,3.9,0.109999895,2.9729702,1176.0,1508.0,0.2235185070800781,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.9981993004706117
AAPL251010P00257500,2025-09-26 19:58:04+00:00,257.5,5.1,4.95,5.15,0.23999977,4.9382668,490.0,371.0,0.21826953613281247,True,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,1.0079855681222845
AAPL251010P00260000,2025-09-26 19:59:54+00:00,260.0,6.7,6.5,6.85,0.5499997,8.943085,124.0,348.0,0.22510540527343748,True,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,1.0177718357739571
AAPL251010P00262500,2025-09-26 18:16:26+00:00,262.5,7.63,8.0,8.45,-0.15999985,-2.0539134,56.0,127.0,0.2124102197265625,True,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,1.0275581034256298
AAPL251010P00265000,2025-09-26 19:48:49+00:00,265.0,10.5,10.0,10.65,0.6000004,6.06061,126.0,193.0,0.22827920166015625,True,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,1.0373443710773025
AAPL251010P00267500,2025-09-26 18:16:26+00:00,267.5,11.61,12.2,12.8,0.0,0.0,4.0,0.0,0.23194127441406248,True,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,1.047130638728975
AAPL251010P00270000,2025-09-26 18:52:49+00:00,270.0,14.23,14.45,15.1,0.52999973,3.868611,85.0,79.0,0.24097438720703124,True,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,1.0569169063806476
AAPL251010P00272500,2025-09-26 13:58:02+00:00,272.5,16.5,16.75,17.55,-3.08,-15.730336,1.0,1.0,0.26319096191406255,True,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,1.0667031740323203
