contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,stockPrice,date,T_days,T_years,moneyness,mid_price,intrinsic_value,time_value
AAPL251003C00190000,2025-09-26 17:29:17+00:00,190.0,66.73,64.75,66.4,3.130005,4.9213915,2.0,116.0,1.11328568359375,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.7437563415271224,65.575,65.46000671386719,0.11499328613281534
AAPL251003C00195000,2025-09-26 18:40:52+00:00,195.0,61.8,59.75,61.1,4.0,6.920415,3.0,16.0,1.3544954150390622,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.7633288768304678,60.425,60.46000671386719,-0.03500671386719034
AAPL251003C00200000,2025-09-26 16:10:30+00:00,200.0,55.32,54.8,56.4,-0.7799988,-1.3903723,69.0,98.0,0.9687503125,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.7829014121338131,55.599999999999994,55.46000671386719,0.13999328613280682
AAPL251003C00205000,2025-09-26 19:41:06+00:00,205.0,50.23,49.75,51.4,1.1499977,2.3431084,11.0,229.0,0.85742330078125,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.8024739474371585,50.575,50.46000671386719,0.11499328613281534
AAPL251003C00210000,2025-09-26 19:17:26+00:00,210.0,45.79,44.85,46.4,-0.0099983215,-0.021830397,105.0,495.0,0.8173846386718748,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.8220464827405037,45.625,45.46000671386719,0.1649932861328125
AAPL251003C00212500,2025-09-26 17:51:03+00:00,212.5,43.78,42.25,43.95,-0.65999985,-1.4851483,7.0,69.0,0.75586181640625,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.8318327503921764,43.1,42.96000671386719,0.13999328613281392
AAPL251003C00215000,2025-09-26 19:39:25+00:00,215.0,40.29,39.75,41.0,-1.6100006,-3.8424835,44.0,550.0,0.905274384765625,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.8416190180438491,40.375,40.46000671386719,-0.0850067138671875
AAPL251003C00217500,2025-09-26 19:39:08+00:00,217.5,37.71,37.25,38.45,-1.5400009,-3.9235692,78.0,194.0,0.8388687988281249,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.8514052856955218,37.85,37.96000671386719,-0.11000671386718608
AAPL251003C00220000,2025-09-26 19:51:50+00:00,220.0,35.37,35.1,36.5,-0.6800003,-1.88627,411.0,1591.0,0.73437765625,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.8611915533471944,35.8,35.46000671386719,0.33999328613280966
AAPL251003C00222500,2025-09-26 19:52:43+00:00,222.5,32.43,32.6,33.35,-2.3199997,-6.676258,283.0,391.0,0.7075224560546876,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.8709778209988671,32.975,32.96000671386719,0.014993286132813921
AAPL251003C00225000,2025-09-26 19:53:33+00:00,225.0,30.14,30.45,31.5,-1.0600014,-3.3974402,597.0,1529.0,0.700198310546875,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.8807640886505398,30.975,30.460006713867188,0.5149932861328139
AAPL251003C00227500,2025-09-26 19:46:40+00:00,227.5,27.76,27.6,28.55,-1.9799995,-6.6576986,1158.0,157.0,0.6718782812500002,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.8905503563022125,28.075000000000003,27.960006713867188,0.11499328613281534
AAPL251003C00230000,2025-09-26 19:54:04+00:00,230.0,25.25,25.45,26.45,-0.6000004,-2.3210845,1310.0,3931.0,0.5961954443359375,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.900336623953885,25.95,25.460006713867188,0.4899932861328118
AAPL251003C00232500,2025-09-26 19:41:00+00:00,232.5,22.5,22.65,23.35,-0.8199997,-3.5162938,113.0,540.0,0.5200243310546875,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.9101228916055576,23.0,22.960006713867188,0.0399932861328125
AAPL251003C00235000,2025-09-26 19:57:10+00:00,235.0,20.58,20.2,21.1,-0.8600006,-4.0111966,318.0,14021.0,0.5327195166015625,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.9199091592572304,20.65,20.460006713867188,0.18999328613281108
AAPL251003C00237500,2025-09-26 19:58:32+00:00,237.5,18.17,17.9,18.4,-1.8799992,-9.3765545,343.0,1228.0,0.437505625,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.929695426908903,18.15,17.960006713867188,0.18999328613281108
AAPL251003C00240000,2025-09-26 19:59:40+00:00,240.0,15.77,15.4,15.9,-1.5699997,-9.054208,452.0,7419.0,0.38867798828125,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.9394816945605756,15.65,15.460006713867188,0.18999328613281286
AAPL251003C00242500,2025-09-26 19:59:40+00:00,242.5,13.32,13.1,13.8,-1.7300005,-11.49502,550.0,2053.0,0.4091855957031249,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.9492679622122484,13.45,12.960006713867188,0.4899932861328118
AAPL251003C00245000,2025-09-26 19:59:33+00:00,245.0,11.05,10.85,11.1,-1.6799994,-13.197167,3949.0,5215.0,0.3227606787109374,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.9590542298639212,10.975,10.460006713867188,0.5149932861328121
AAPL251003C00247500,2025-09-26 19:58:04+00:00,247.5,8.7,8.6,8.85,-1.8299999,-17.378918,3013.0,1832.0,0.3007882421875,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.9688404975155938,8.725,7.9600067138671875,0.7649932861328121
AAPL251003C00250000,2025-09-26 19:59:24+00:00,250.0,6.66,6.45,6.75,-1.6900005,-20.239527,4454.0,16303.0,0.2824778784179687,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.9786267651672664,6.6,5.4600067138671875,1.1399932861328121
AAPL251003C00252500,2025-09-26 19:59:45+00:00,252.5,4.77,4.7,4.85,-1.6199999,-25.352112,2458.0,4417.0,0.2657544128417969,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.9884130328189392,4.775,2.9600067138671875,1.8149932861328129
AAPL251003C00255000,2025-09-26 19:59:56+00:00,255.0,3.25,3.2,3.3,-1.5500002,-32.291668,18970.0,15043.0,0.2570875073242187,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.9981993004706116,3.25,0.4600067138671875,2.7899932861328125
AAPL251003C00257500,2025-09-26 19:59:58+00:00,257.5,2.07,2.0,2.08,-1.28,-38.208954,34631.0,7990.0,0.2496412927246093,False,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.0079855681222845,2.04,0.0,2.04
AAPL251003C00260000,2025-09-26 19:59:58+00:00,260.0,1.21,1.18,1.24,-1.0799999,-47.16157,64733.0,36455.0,0.2473219799804687,False,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.0177718357739571,1.21,0.0,1.21
AAPL251003C00262500,2025-09-26 19:59:58+00:00,262.5,0.68,0.67,0.7,-0.84,-55.263157,33902.0,14872.0,0.2473219799804687,False,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.0275581034256298,0.685,0.0,0.685
AAPL251003C00265000,2025-09-26 19:59:55+00:00,265.0,0.38,0.37,0.39,-0.61,-61.616165,39469.0,12511.0,0.2514723291015625,False,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.0373443710773025,0.38,0.0,0.38
AAPL251003C00267500,2025-09-26 19:59:33+00:00,267.5,0.22,0.21,0.24,-0.41,-65.07937,2470.0,1262.0,0.26367923828125,False,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.047130638728975,0.22499999999999998,0.0,0.22499999999999998
AAPL251003C00270000,2025-09-26 19:59:55+00:00,270.0,0.12,0.12,0.13,-0.29999998,-71.428566,11200.0,12804.0,0.2685620019531249,False,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.0569169063806476,0.125,0.0,0.125
AAPL251003C00272500,2025-09-26 19:59:13+00:00,272.5,0.08,0.07,0.08,-0.15,-65.21739,4892.0,1087.0,0.2802806347656249,False,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.0667031740323203,0.07500000000000001,0.0,0.07500000000000001
AAPL251003C00275000,2025-09-26 19:59:48+00:00,275.0,0.05,0.04,0.06,-0.11,-68.75,2369.0,3235.0,0.299811689453125,False,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.076489441683993,0.05,0.0,0.05
AAPL251003C00277500,2025-09-26 19:54:28+00:00,277.5,0.03,0.03,0.05,-0.08,-72.72727,558.0,1861.0,0.3222724023437499,False,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.0862757093356656,0.04,0.0,0.04
AAPL251003C00280000,2025-09-26 19:59:42+00:00,280.0,0.03,0.03,0.04,-0.04,-57.142853,631.0,4533.0,0.34180345703125,False,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.0960619769873383,0.035,0.0,0.035
AAPL251003C00282500,2025-09-26 19:53:47+00:00,282.5,0.02,0.01,0.03,-0.04,-66.66667,364.0,399.0,0.35742830078125,False,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.105848244639011,0.02,0.0,0.02
AAPL251003C00285000,2025-09-26 19:59:56+00:00,285.0,0.01,0.01,0.03,-0.03,-75.0,307.0,1510.0,0.3847717773437499,False,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.1156345122906837,0.02,0.0,0.02
AAPL251003C00287500,2025-09-26 18:53:49+00:00,287.5,0.02,0.01,0.21,0.0,0.0,40.0,469.0,0.5419967675781252,False,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.1254207799423563,0.11,0.0,0.11
AAPL251003C00290000,2025-09-26 19:58:20+00:00,290.0,0.01,0.01,0.02,-0.02,-66.66667,4.0,1633.0,0.4179745703124999,False,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.135207047594029,0.015,0.0,0.015
AAPL251003C00292500,2025-09-26 19:37:54+00:00,292.5,0.01,0.0,0.03,-0.02,-66.66667,1782.0,7.0,0.4648491015625,False,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.1449933152457017,0.015,0.0,0.015
AAPL251003P00175000,2025-09-24 18:46:35+00:00,175.0,0.01,0.0,0.05,0.0,0.0,5.0,142.0,1.171879140625,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.6850387356170865,0.025,0.0,0.025
AAPL251003P00200000,2025-09-26 19:56:26+00:00,200.0,0.01,0.01,0.02,-0.01,-50.0,92.0,808.0,0.7500025,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.7829014121338131,0.015,0.0,0.015
AAPL251003P00205000,2025-09-26 18:46:24+00:00,205.0,0.01,0.0,0.04,-0.01,-50.0,22.0,1186.0,0.6953155468750001,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.8024739474371585,0.02,0.0,0.02
AAPL251003P00210000,2025-09-26 19:53:52+00:00,210.0,0.02,0.01,0.05,0.0,0.0,61.0,2550.0,0.6562534375000001,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.8220464827405037,0.030000000000000002,0.0,0.030000000000000002
AAPL251003P00212500,2025-09-26 19:56:33+00:00,212.5,0.02,0.01,0.18,-0.02,-50.0,50.0,227.0,0.7148466015625,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.8318327503921764,0.095,0.0,0.095
AAPL251003P00215000,2025-09-26 19:43:25+00:00,215.0,0.01,0.01,0.1,-0.02,-66.66667,43.0,1241.0,0.6289099609375001,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.8416190180438491,0.055,0.0,0.055
AAPL251003P00217500,2025-09-26 17:48:51+00:00,217.5,0.01,0.01,0.03,-0.02,-66.66667,318.0,344.0,0.523442265625,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.8514052856955218,0.02,0.0,0.02
AAPL251003P00220000,2025-09-26 19:47:20+00:00,220.0,0.02,0.02,0.1,-0.02,-50.0,540.0,3408.0,0.5585981640625001,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.8611915533471944,0.060000000000000005,0.0,0.060000000000000005
AAPL251003P00222500,2025-09-26 19:38:17+00:00,222.5,0.03,0.02,0.03,-0.020000001,-40.000004,269.0,340.0,0.4804739453125,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.8709778209988671,0.025,0.0,0.025
AAPL251003P00225000,2025-09-26 19:31:48+00:00,225.0,0.04,0.02,0.08,-0.010000002,-20.000004,554.0,2775.0,0.5048877636718749,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.8807640886505398,0.05,0.0,0.05
AAPL251003P00227500,2025-09-26 19:59:33+00:00,227.5,0.03,0.03,0.05,-0.04,-57.142853,265.0,968.0,0.437505625,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.8905503563022125,0.04,0.0,0.04
AAPL251003P00230000,2025-09-26 19:42:03+00:00,230.0,0.04,0.04,0.05,-0.04,-50.0,864.0,2376.0,0.40039662109375,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.900336623953885,0.045,0.0,0.045
AAPL251003P00232500,2025-09-26 19:43:15+00:00,232.5,0.06,0.05,0.06,-0.040000003,-40.000004,1407.0,1463.0,0.37500625,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.9101228916055576,0.055,0.0,0.055
AAPL251003P00235000,2025-09-26 19:58:10+00:00,235.0,0.07,0.07,0.1,-0.080000006,-53.333336,1014.0,5764.0,0.36524072265625,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.9199091592572304,0.085,0.0,0.085
AAPL251003P00237500,2025-09-26 19:57:52+00:00,237.5,0.1,0.1,0.11,-0.089999996,-47.36842,957.0,2160.0,0.331061376953125,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.929695426908903,0.10500000000000001,0.0,0.10500000000000001
AAPL251003P00240000,2025-09-26 19:58:34+00:00,240.0,0.16,0.14,0.16,-0.099999994,-38.461536,4527.0,7231.0,0.3115303222656249,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.9394816945605756,0.15000000000000002,0.0,0.15000000000000002
AAPL251003P00242500,2025-09-26 19:59:52+00:00,242.5,0.24,0.22,0.24,-0.14,-36.842106,2479.0,3895.0,0.2929758203124999,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.9492679622122484,0.22999999999999998,0.0,0.22999999999999998
AAPL251003P00245000,2025-09-26 19:59:56+00:00,245.0,0.38,0.37,0.39,-0.17000002,-30.909094,4690.0,5992.0,0.2793040820312499,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.9590542298639212,0.38,0.0,0.38
AAPL251003P00247500,2025-09-26 19:59:57+00:00,247.5,0.64,0.6,0.64,-0.17000002,-20.987658,4796.0,5633.0,0.2670971728515625,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.9688404975155938,0.62,0.0,0.62
AAPL251003P00250000,2025-09-26 19:59:58+00:00,250.0,1.05,1.0,1.1,-0.1500001,-12.500008,10547.0,9783.0,0.2622144091796875,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.9786267651672664,1.05,0.0,1.05
AAPL251003P00252500,2025-09-26 19:59:55+00:00,252.5,1.72,1.61,1.78,-0.059999943,-3.3707836,8525.0,2454.0,0.25586681640625,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.9884130328189392,1.695,0.0,1.695
AAPL251003P00255000,2025-09-26 19:59:45+00:00,255.0,2.65,2.59,2.72,0.01999998,0.76045555,14504.0,4264.0,0.247077841796875,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,0.9981993004706116,2.6550000000000002,0.0,2.6550000000000002
AAPL251003P00257500,2025-09-26 19:59:55+00:00,257.5,4.0,3.9,4.05,0.27999997,7.526881,2162.0,652.0,0.2436599072265625,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.0079855681222845,3.9749999999999996,2.0399932861328125,1.9350067138671871
AAPL251003P00260000,2025-09-26 19:59:50+00:00,260.0,5.66,5.15,5.75,0.46000004,8.846155,1255.0,2525.0,0.2442702526855469,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.0177718357739571,5.45,4.5399932861328125,0.9100067138671877
AAPL251003P00262500,2025-09-26 19:59:37+00:00,262.5,7.63,7.5,7.7,0.74000025,10.740207,1039.0,273.0,0.242195078125,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.0275581034256298,7.6,7.0399932861328125,0.5600067138671871
AAPL251003P00265000,2025-09-26 19:59:25+00:00,265.0,9.84,9.55,10.25,0.3000002,3.1446562,193.0,2260.0,0.3015206567382812,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.0373443710773025,9.9,9.539993286132812,0.36000671386718786
AAPL251003P00267500,2025-09-26 19:44:06+00:00,267.5,12.5,11.75,12.6,0.35000038,2.8806617,97.0,3.0,0.3276434423828125,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.047130638728975,12.175,12.039993286132812,0.1350067138671882
AAPL251003P00270000,2025-09-26 19:55:42+00:00,270.0,14.6,14.4,14.8,1.3500004,10.188683,25.0,8064.0,0.3090889404296875,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.0569169063806476,14.600000000000001,14.539993286132812,0.06000671386718892
AAPL251003P00272500,2025-09-26 19:52:20+00:00,272.5,17.38,16.45,17.75,-1.8899994,-9.807989,7.0,13.0,0.4450739086914062,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.0667031740323203,17.1,17.039993286132812,0.06000671386718892
AAPL251003P00275000,2025-09-26 17:54:31+00:00,275.0,19.0,18.95,20.25,-3.869999,-16.921728,11.0,6.0,0.4892629199218751,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.076489441683993,19.6,19.539993286132812,0.06000671386718892
AAPL251003P00280000,2025-09-24 17:32:20+00:00,280.0,28.3,24.05,25.1,0.0,0.0,3.0,1.0,0.5415084912109377,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.0960619769873383,24.575000000000003,24.539993286132812,0.03500671386719034
AAPL251003P00285000,2025-09-22 18:05:08+00:00,285.0,30.2,29.1,30.2,0.0,0.0,18.0,0.0,0.6430699755859376,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.1156345122906837,29.65,29.539993286132812,0.11000671386718608
AAPL251003P00287500,2025-09-26 18:46:16+00:00,287.5,31.4,31.5,32.75,-0.29999924,-0.9463699,1.0,2.0,0.6928741650390625,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.1254207799423563,32.125,32.03999328613281,0.0850067138671875
AAPL251003P00310000,2025-09-23 18:47:44+00:00,310.0,55.6,54.0,55.2,0.0,0.0,18.0,0.0,0.6875031250000001,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.2134971888074104,54.6,54.53999328613281,0.06000671386718892
AAPL251003P00325000,2025-09-24 17:39:56+00:00,325.0,73.2,69.0,70.2,0.0,0.0,1.0,0.0,0.8320329296874999,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589,1.2722147947174465,69.6,69.53999328613281,0.060006713867181816
AAPL251010C00110000,2025-09-10 13:42:10+00:00,110.0,120.04,144.85,146.35,0.0,0.0,,1.0,1.90625046875,True,REGULAR,USD,call,2025-10-10,255.4600067138672,2025-09-28,11,0.0301369863013698,0.4305957766735972,145.6,145.4600067138672,0.13999328613280682
AAPL251010C00120000,2025-09-23 16:28:21+00:00,120.0,136.1,134.85,136.4,0.0,0.0,,7.0,1.7578137109375,True,REGULAR,USD,call,2025-10-10,255.4600067138672,2025-09-28,11,0.0301369863013698,0.4697408472802878,135.625,135.4600067138672,0.1649932861328125
AAPL251010C00135000,2025-09-25 18:40:07+00:00,135.0,120.55,119.85,121.25,0.0,0.0,,2.0,1.3984405078125,True,REGULAR,USD,call,2025-10-10,255.4600067138672,2025-09-28,11,0.0301369863013698,0.5284584531903238,120.55,120.46000671386719,0.08999328613280966
AAPL251010C00140000,2025-09-25 16:42:59+00:00,140.0,113.54,114.9,116.15,0.0,0.0,3.0,4.0,1.2773473632812498,True,REGULAR,USD,call,2025-10-10,255.4600067138672,2025-09-28,11,0.0301369863013698,0.5480309884936692,115.525,115.46000671386719,0.06499328613281818
AAPL251010C00150000,2025-09-18 14:23:48+00:00,150.0,87.76,104.9,106.4,0.0,0.0,,1.0,1.3007847460937496,True,REGULAR,USD,call,2025-10-10,255.4600067138672,2025-09-28,11,0.0301369863013698,0.5871760591003599,105.65,105.46000671386719,0.18999328613281818
AAPL251010C00160000,2025-09-24 14:48:53+00:00,160.0,92.75,94.95,96.35,0.0,0.0,6.0,6.0,1.1572307763671876,True,REGULAR,USD,call,2025-10-10,255.4600067138672,2025-09-28,11,0.0301369863013698,0.6263211297070505,95.65,95.46000671386719,0.18999328613281818
AAPL251010C00165000,2025-09-04 15:32:29+00:00,165.0,73.38,89.9,91.2,0.0,0.0,,1.0,0.9882813671875,True,REGULAR,USD,call,2025-10-10,255.4600067138672,2025-09-28,11,0.0301369863013698,0.6458936650103958,90.55000000000001,90.46000671386719,0.08999328613282387
AAPL251010C00170000,2025-09-11 18:54:03+00:00,170.0,60.81,84.95,86.35,0.0,0.0,,1.0,1.021489267578125,True,REGULAR,USD,call,2025-10-10,255.4600067138672,2025-09-28,11,0.0301369863013698,0.6654662003137412,85.65,85.46000671386719,0.18999328613281818
AAPL251010C00175000,2025-09-25 18:40:07+00:00,175.0,80.65,79.95,81.4,0.0,0.0,,3.0,0.97460962890625,True,REGULAR,USD,call,2025-10-10,255.4600067138672,2025-09-28,11,0.0301369863013698,0.6850387356170865,80.67500000000001,80.46000671386719,0.21499328613282387
AAPL251010C00180000,2025-09-23 14:25:15+00:00,180.0,76.93,75.0,76.35,0.0,0.0,2.0,43.0,0.9101571484375,True,REGULAR,USD,call,2025-10-10,255.4600067138672,2025-09-28,11,0.0301369863013698,0.7046112709204319,75.675,75.46000671386719,0.21499328613280966
